ID,IC,FII,body_part,dry_weight
291,0.375,36,dryrest,9.29
291,0.375,36,drytotal,14.209999999999999
293,0.375,51,drythor,4.42
293,0.375,51,dryrest,6.3
293,0.375,51,drytotal,10.719999999999999
294,0.375,34,drythor,5.1
294,0.375,34,dryrest,6.79
294,0.375,34,drytotal,11.89
295,0.375,46,drythor,4.62
295,0.375,46,dryrest,5.89
295,0.375,46,drytotal,10.51
298,0.375,41,drythor,3.81
298,0.375,41,dryrest,6.5
298,0.375,41,drytotal,10.31
301,0,32,drythor,5.86
301,0,32,dryrest,11.53
301,0,32,drytotal,17.39
302,0,52,drythor,5.77
302,0,52,dryrest,6.78
302,0,52,drytotal,12.55
303,0,32,drythor,6.45
303,0,32,dryrest,8.49
303,0,32,drytotal,14.940000000000001
304,0,34,drythor,6.26
304,0,34,dryrest,8.98
304,0,34,drytotal,15.24
305,0,44,drythor,6.04
305,0,44,dryrest,7.57
305,0,44,drytotal,13.61
307,0.25,39,drythor,5.68
307,0.25,39,dryrest,5.81
307,0.25,39,drytotal,11.489999999999998
308,0.25,31,drythor,4.75
308,0.25,31,dryrest,4.34
308,0.25,31,drytotal,9.09
309,0.25,40,drythor,4.91
309,0.25,40,dryrest,5.1
309,0.25,40,drytotal,10.01
310,0.25,51,drythor,5.47
310,0.25,51,dryrest,11.01
310,0.25,51,drytotal,16.48
311,0.25,34,drythor,6.41
311,0.25,34,dryrest,8.85
311,0.25,34,drytotal,15.26
313,0.25,33,drythor,5.77
313,0.25,33,dryrest,7.9
313,0.25,33,drytotal,13.67
314,0.25,33,drythor,5.37
314,0.25,33,dryrest,5.95
314,0.25,33,drytotal,11.32
315,0.375,22,drythor,4.4
315,0.375,22,dryrest,5.6
315,0.375,22,drytotal,10
316,0.375,94,drythor,5.32
316,0.375,94,dryrest,6.15
316,0.375,94,drytotal,11.47
317,0.375,54,drythor,4.47
317,0.375,54,dryrest,6.45
317,0.375,54,drytotal,10.92
318,0.375,63,drythor,4.23
318,0.375,63,dryrest,5.12
318,0.375,63,drytotal,9.350000000000001
320,0.375,51,drythor,7.4
320,0.375,51,dryrest,10.42
320,0.375,51,drytotal,17.82
321,0.375,42,drythor,4.03
321,0.375,42,dryrest,6.23
321,0.375,42,drytotal,10.260000000000002
322,0,47,drythor,5.22
322,0,47,dryrest,4.65
322,0,47,drytotal,9.870000000000001
323,0,61,drythor,4.94
323,0,61,dryrest,5.64
323,0,61,drytotal,10.58
324,0,37,drythor,5.66
